komentar,sentiment,score
dulu mikir pembeli  ternyata sebagai penjual jadi korban pas ketemu pembeli curang youtube ada reviewer jual hp bekas review nya eh pembeli curang juga jadi semua pihak bisa  jadi pelaku cm penjual ataupun pihak jasa kirim  pembeli jg,negative,0.9926508069038391
udah banyak banget korban sama kalau salah lama ada kasusnya sama,negative,0.995876669883728
saran sebaiknya ambil langkah hukum melaporkan polisi penjual market place dilakukan konsumen selama korban mengalami kerugian diatas 2 5 juta,neutral,0.9623908996582031
bantu viralin admin kagak beres ini banyak bener korban nya udh,negative,0.996826708316803
marketplace berani putus kerja sama bareng jne kalau sistemnya dibenerin makin banyak korban hey kurir pikir panjang kalau mau berbuat kriminal kalau putus kerja sama semua marketplace di phk lu ingat kepercayaan no 1,negative,0.978714644908905
jne rasa rosalia indah mencurigakan banget laporin aja kepolisian kalau gini mah bikin paguyuban korban jne,negative,0.9907279014587402
habis baca ternyata juga jadi korban kirim kamera statusnya gak orang dirumah penerima chat sama kurir bilangnya paketnya ilang,negative,0.9709193110466003
ya kalian tidak kapok begitu banyk kasus cukup kami2 jadi korban berharap keuntungan lebih tergiur pot harga hingga cashback  berujung stres kesialan yang sangat menguras pikiran tenaga sudahlah jgn belanja aplikasi lg,negative,0.9868015050888062
seram sih kalau jadi korban duit gede tipu ecommerce pengiriman gede,negative,0.9980033040046692
kalau lapor kepolisian gimana bang siapa tau ditindak iya sih bakal korban waktu tenaga,negative,0.9953001737594604
mohon diviralkan teman biar ngga korban karena banyak ketipu sama mbak tersebut semoga dapet hukuman jera dunia akhirat ,negative,0.9737441539764404
kebakaran jakarta barat pergudangan pengiriman semoga ada korban jiwa ,neutral,0.9798729419708252
14 hari sampai nyimak deh khawatir barang nya ilang  pas nyampe isinya kardus doang ,negative,0.9726217985153198
mau nanya dong barusan orang nawarin side hustle aplikasi tokopedia baru tau kerjaan buat naikin rating barang tokopedia ini beneran atau memang aku jadi korban penipuan stranger huhuhuu ,neutral,0.6784781217575073
 sering kok gan korban promo gratis ongkirnya estimasi 118 sekarang berubah jadi 1826 munkin kurir terdampak gangguan cuaca,neutral,0.738318920135498
 jadi begal kalau begal berhasil nyuri gak bakal dicari kalau begalnya dibunuh malah korban ditangkep ,negative,0.9969735145568848
 kek mana woi kurir rekomendasi kalian kok gini kontol putus aja kontraknya jangan pelanggan jadi korban kelalaian pihak pengiriman terus gimana pertanggung jawabannya ,negative,0.9974735379219055
 wah udah 20 hari lebih paket sampai korban what so called kurir rekomendasi gitu kok direkomendasikan,negative,0.5699154734611511
 akun tokopedia di retas lalu melakukan transaksi via gopay later laporkan tokopedia gopay tokopedia menjelaskan terkait tanggungan pembayaran tetap padahal jelas2 saya adalah korban itu bukan saya solusi macam apa,negative,0.825366735458374
 percuma 6 hari komunikasi via facebook dikasih jawaban menggantung kesalahan jasa pengiriman pembeli jadi korban dana direfund pusat resolusi bertanya dijawab pusat resolusi 1 minggu ada solusi,negative,0.8331270813941956
 semoga segera selesai permasalahannya uang ke korbankorbannya buat siapapun yang mau belanja online jangan trust ecommerce apapun tokopedia lazada syopi ecommerce resmi lainnya,neutral,0.48784705996513367
nih cek kelakuan oknum penipu selalu manfaatin cara buat mengelabui korban baca infonya seksama dan share info biar teman kamu jadi korban selanjutnya infokeamanantokopediacare penipu ,negative,0.76146000623703
 pak tokopedia dong banyak korban sama ekpesisi ,negative,0.9898114204406738
 korban sampah express,negative,0.9944822788238525
sender lihat postingan pengirim mau speak up pernah jadi korban tokopedia tokopedia memang problematik kalau soal refund ,neutral,0.6877424120903015
halo disclaimer tanggal 30122023 pihak tokopedia mengatakan setelah dikonfirmasi seller seller mengatakan paket diberikan kurirdriver jam 10 pagi masuk logika jadwal pickup diubah seller tanggal 212024 ,neutral,0.9931065440177917
gua jadi korban carding tiba-tiba 30 des 23 627 pagi transaksi notifikasi  sms cc bri tokopedia card sebesar gbp 479 99 meta store london 9 5juta bukan trx semoga sanggahan transaksi nya approved sebuah utas ,neutral,0.8690036535263062
 sebelumya tanggal 26 desember juga pesan pengiriman reguler gratis ongkir setelah 2 hari tanggal 28 desember pesanan dibatalkan sepihak seller alasan produk kosong mau pesan udah konfirmasi  ,neutral,0.8521893620491028
 woii kembalikan dulu duit para korban kalian baru give away berbulan2 kalian gk kembalikan duit paket gk nyampe duit lenyap telan ,negative,0.9960915446281433
 nahh makin banyak kan korban bermunculan selama hampir 2 bulan dana juga balikin jawaban sama semua di proses maksimalkan optimalkan hasilnya 0 als boong gede,negative,0.9921007752418518
kocak banget baru kelar ngurusnya tanggal 27 eh malah gamau ganti salah disini konsumen barang tanggal 11 sampe sekarang ada kejelasan kata perbaikin dah pelayanan lu soalnya banyak korban tuh paketnya ilang ,negative,0.9969063401222229
dear lah kerjasama sap express ditinjau ulang banyak sekali korban sap express karena kurir rekomendasi paket saja 6 hari ada kejelasan jakartabandung pas cek google maps ternyata review nya sangat jelek,negative,0.9973049163818359
 gk perlu dm2 an justru dm gk ngasih solusi apa2 jadi kalau tokopedia merasa benar gk mau refund sudah kolom komentar aja jawabnya biar semua korban bisa menilai gimana kinerja hampir 2 bulan dm trs  gk refund sebaiknya baca ketentuan refund ,negative,0.4996788203716278
 siapa korban gk refund selanjutnya inv20231103mpl3545442486 sudah sebulan lebih paket ilang gk refund sama ,negative,0.8993951082229614
 juga jawaban pakai template sama bap lengkap hampir 2bln di refund semua pelanggan jadi korban beramai2 tag kepolisian dan media massa lebih banyak orang tau gk jadi korban berikutnya,negative,0.9871337413787842
 jangan kasian udah korban kena goreng nanti sama netijen wkkwkwk,negative,0.9952979683876038
 kalau emang mau naikin berita tokopedia masa iya 2 orang mau jadi korban pasti namanya jadi jelek terus mukanya ke spil,negative,0.9888021945953369
 nah aku jadi bingung aku kira tadi korban ternyata pelaku agak gila dia emang,negative,0.9928117394447327
penipu hati hati teman nomornya diliat voucher grabfood grab food ternyata udah korban sebelumnya bahkan rep twt tersebut tf gopay ,negative,0.9704561233520508
penipu voucher jajanuntung tfnya gopay ternyata udah korban bahkan rep twt tersebut ,negative,0.7292594909667969
 korban mantan korban tepat nya dibayar pas 1 tahun,negative,0.6794180870056152
 halo kak kakak korban penipuan tokopedia kak juga kak,neutral,0.8301004767417908
 akankah tokopedia menjadi korban 2 bukalapak,neutral,0.9465415477752686
korban penipuan berkedok jual obat cytotec padahal hoax  lagi lagi konsul beli orang kena tipu dong makanya saya transaksinya tokopedia selalu kalau barang sesuai ajukan kembalian barang selalu waspada bosku beli cytotec pintar ,negative,0.9674416184425354
 korban keberapa banyak banget kasus sperti di tokopedia ,negative,0.9842324256896973
 pernah korban bos cuma beda kasus aja,negative,0.9262932538986206
 alhamdulillah jadi beli laptop takut banget jadi korban selanjutnya,negative,0.9976919889450073
 aku pernah ketipu di live parfume kemasan 90ml datang malah 30ml ngajuin tuker ditolak shopee gara-gara gak ss pas live padahal jelas banget review etalase tersebut korban live semua wkwk akhirnya seller bikin etalase baru barang sama,negative,0.9558680057525635
 banyak aspek harus diteliti apakah si korban beli melihat review apa beli nya toko sudah verified apa klaim jaminan asuransi dan tokopedia coba lakukan sweeping toko2 nakal unverified mencurigakan,negative,0.9642849564552307
 hei kan tinggal bayar duitnya 11 juta semua bukti korban udah lengkap bayar bts bayar kehilangan konsumen ribet banksad sekali kalian,negative,0.9954856038093567
 kak kasus berkaitan toko tersebut bertanggungjawab juga harusnya pihak toko kan kan yang mempekerjakan karyawan toko hp nya kalau di spill takutnya korban selanjutnya,negative,0.9844244122505188
 banyak banget korban kek gini tokopedia gak mau tau kan tolol apa gunanya juga pernah diginiin  brg gak penting,negative,0.9980102181434631
 termasuk korban emang brengsek sih,negative,0.9983388185501099
 apa modus oknum2 merchant2nya unt begal customernya slalu mnghindarngeles alasan2 sumir pdhl kalau mau amp punya itikad baik bs mdh mempending dulu pmbayrn merchant tersebut mungkin sj banyak korban ,negative,0.9913544058799744
 spill dong nama lapaknya kaa biar banyak korban,negative,0.7497209906578064
 gold member berulang kali transaksi hp tablet laptop alhamdulillah ada masalah kasus membuat waswas ternyata jadi korban penipuan ada jaminan pertanggungjawaban ,neutral,0.822077214717865
 dibantu dong nih korban merchant bandit  masa beli iphone dikirim batu,negative,0.8693244457244873
 wah banyak jadi korban moderasi tokopedia,negative,0.9939320087432861
